City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,dalandzadgad,43.5708,104.425,-7.54,62,0,2.89,MN,1704798036
314,sudak,44.85,34.9667,0.46,77,100,7.08,UA,1704798246
315,vernon,50.2581,-119.2691,-0.39,90,100,0.51,CA,1704797989
316,sechura,-5.5569,-80.8222,22.55,82,81,4.47,PE,1704798247
317,tekeli,44.83,78.8239,0.53,74,100,3.79,KZ,1704798247
318,faya-largeau,17.9257,19.1043,29.53,6,85,6.17,TD,1704798248
319,trairi,-3.2778,-39.2689,29.0,64,74,4.02,BR,1704798249
320,izbiceni,43.8333,24.65,-2.95,82,100,6.2,RO,1704798250
321,liezen,47.5667,14.2333,5.37,61,19,2.39,AT,1704797969
322,xilin hot,43.9667,116.0333,-19.43,96,6,3.1,CN,1704798232
323,paracuru,-3.41,-39.0306,28.95,67,74,4.33,BR,1704798251
324,saint-francois,46.4154,3.9054,-0.31,81,100,0.0,FR,1704798251
325,gao,16.6362,1.637,29.54,7,37,7.01,ML,1704798057
326,payson,40.0444,-111.7321,-7.76,79,75,2.06,US,1704798252
327,semenov,56.7875,44.493,-10.92,90,97,4.23,RU,1704798253
328,sabha,27.0377,14.4283,14.57,23,0,2.79,LY,1704798095
329,maydanshakhr,34.3956,68.8662,4.24,39,8,1.3,AF,1704798254
330,hamilton,39.1834,-84.5333,4.02,94,100,3.13,US,1704797989
331,luganville,-15.5333,167.1667,26.32,86,39,1.62,VU,1704798255
332,porto velho,-8.7619,-63.9039,26.03,89,20,1.54,BR,1704798255
333,lautoka,-17.6167,177.4667,25.92,94,75,3.09,FJ,1704798256
334,margate,51.3813,1.3862,4.27,70,14,2.68,GB,1704798256
335,ajdovscina,45.886,13.9095,7.44,50,33,5.42,SI,1704798257
336,rada tilly,-45.9333,-67.5333,12.96,48,26,8.51,AR,1704798257
337,kribi,2.95,9.9167,29.98,68,22,3.47,CM,1704798258
338,juan griego,11.0817,-63.9655,25.07,89,81,4.77,VE,1704798260
339,caucete,-31.6518,-68.2811,25.32,51,19,2.19,AR,1704798260
340,mugia,43.1041,-9.2179,7.17,80,100,1.8,ES,1704798261
341,altai,46.3722,96.2583,-6.25,52,94,9.71,MN,1704798029
342,argungu,12.7433,4.5269,32.31,6,0,6.06,NG,1704798262
343,st. john's,47.5649,-52.7093,-4.01,85,100,10.8,CA,1704798251
344,kismayo,-0.3582,42.5454,29.0,59,62,9.27,SO,1704798262
345,chernyshevskiy,63.0128,112.4714,-26.73,98,100,3.37,RU,1704798262
346,miguel alves,-4.1656,-42.8953,27.15,71,58,2.26,BR,1704798263
347,howrah,22.5892,88.3103,23.0,56,0,3.6,IN,1704798083
348,hukumati azrah,34.1736,69.6457,4.46,34,2,0.65,AF,1704798263
349,tosontsengel,48.7567,98.2839,-14.83,78,81,1.37,MN,1704798264
350,shiraz,29.6036,52.5388,15.69,14,0,3.09,IR,1704797864
351,arinos,-15.9169,-46.1056,22.51,92,100,0.51,BR,1704798265
352,swift current,50.2834,-107.8014,-12.57,83,98,3.35,CA,1704798265
353,huarmey,-10.0681,-78.1522,22.01,88,99,2.72,PE,1704798266
354,oruro,-17.9833,-67.15,9.57,64,65,2.9,BO,1704798267
355,melekeok village,7.4957,134.6367,28.31,78,75,3.09,PW,1704798267
356,piti village,13.4626,144.6933,27.95,86,75,6.17,GU,1704798268
357,kailua-kona,19.6406,-155.9956,25.98,76,0,15.43,US,1704798268
358,surab,28.4914,66.2585,12.72,14,0,4.4,PK,1704798269
359,celestun,20.8667,-90.4,23.96,83,26,6.15,MX,1704798269
360,narvik,68.4384,17.4272,5.21,100,100,3.78,NO,1704798269
361,comodoro rivadavia,-45.8667,-67.5,12.72,48,33,8.44,AR,1704798038
